"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
"1500000US060379107061","Block Group 1, Census Tract 9107.06, Los Angeles County, California","1473","73","62","57","68","68","70","60","28","26","22","25","113","55","61","41","41","47","114","75","156","90","225","72","204","91","162","83","87","75","60","43","0","17"
"1500000US060379107071","Block Group 1, Census Tract 9107.07, Los Angeles County, California","1517","63","91","45","74","50","103","64","44","32","9","13","70","58","83","54","168","78","46","32","205","98","136","64","209","87","107","66","90","63","82","48","0","17"
"1500000US060379107091","Block Group 1, Census Tract 9107.09, Los Angeles County, California","532","14","0","12","10","15","17","28","6","8","11","11","51","49","0","12","5","7","11","13","68","59","47","48","108","54","71","36","41","29","62","39","24","19"
"1500000US060379107111","Block Group 1, Census Tract 9107.11, Los Angeles County, California","1495","179","12","22","98","66","125","100","29","49","33","43","137","95","44","42","48","46","90","101","62","57","146","118","265","139","239","140","131","91","36","53","0","17"
"1500000US060379107112","Block Group 2, Census Tract 9107.11, Los Angeles County, California","704","168","14","23","83","68","0","12","86","60","26","43","21","34","18","22","50","63","13","24","60","52","145","120","133","115","20","33","0","12","0","12","35","41"
"1500000US060379107121","Block Group 1, Census Tract 9107.12, Los Angeles County, California","627","54","8","10","9","11","14","15","39","35","29","36","9","11","18","23","36","36","25","21","57","38","96","54","101","52","126","64","35","19","13","14","12","13"
"1500000US060379107131","Block Group 1, Census Tract 9107.13, Los Angeles County, California","514","119","9","16","0","12","0","12","20","22","16","19","16","25","25","39","52","49","0","12","18","22","69","79","149","77","76","52","33","31","31","36","0","12"
"1500000US060379107132","Block Group 2, Census Tract 9107.13, Los Angeles County, California","902","127","8","13","14","18","32","41","7","11","28","38","40","31","71","50","84","55","59","50","82","50","182","70","139","75","87","60","57","31","12","15","0","12"
"1500000US060379107141","Block Group 1, Census Tract 9107.14, Los Angeles County, California","591","66","10","11","32","27","0","12","60","44","0","12","26","28","31","32","56","36","55","46","35","33","83","41","129","53","20","15","33","27","12","15","9","14"
"1500000US060379107142","Block Group 2, Census Tract 9107.14, Los Angeles County, California","310","59","12","13","0","12","16","20","0","12","17","15","26","32","16","25","17","25","28","24","27","28","53","30","91","48","3","5","0","12","4","7","0","12"
